year,sex,age_group,country,people_total
2011,m,39,ni,12615
2011,m,40,e,383265
2011,m,40,w,20603
2011,m,40,s,36826
2011,m,40,ni,12736
2011,m,41,e,377205
2011,m,41,w,20269
2011,m,41,s,37162
2011,m,41,ni,12720
2011,m,42,e,385407
2011,m,42,w,21264
2011,m,42,s,38493
2011,m,42,ni,12915
2011,m,43,e,385284
2011,m,43,w,20801
2011,m,43,s,39325
2011,m,43,ni,13181
2011,m,44,e,392280
2011,m,44,w,21554
2011,m,44,s,39634
2011,m,44,ni,12978
2011,m,45,e,390251
2011,m,45,w,21609
2011,m,45,s,39630
2011,m,45,ni,13251
2011,m,46,e,393270
2011,m,46,w,22071
2011,m,46,s,41087
2011,m,46,ni,13289
2011,m,47,e,386289
2011,m,47,w,22017
2011,m,47,s,39963
2011,m,47,ni,13150
2011,m,48,e,379839
2011,m,48,w,21546
2011,m,48,s,40426
2011,m,48,ni,12974
2011,m,49,e,370109
2011,m,49,w,21285
2011,m,49,s,39213
2011,m,49,ni,12303
2011,m,50,e,359558
2011,m,50,w,20698
2011,m,50,s,38641
2011,m,50,ni,12418
2011,m,51,e,342894
2011,m,51,w,19844
2011,m,51,s,37165
2011,m,51,ni,11646
2011,m,52,e,337533
2011,m,52,w,19837
2011,m,52,s,36960
2011,m,52,ni,11541
2011,m,53,e,331103
2011,m,53,w,19467
2011,m,53,s,36148
2011,m,53,ni,11443
2011,m,54,e,316641
2011,m,54,w,19115
2011,m,54,s,35284
2011,m,54,ni,10812
2011,m,55,e,305036
2011,m,55,w,18005
2011,m,55,s,33834
2011,m,55,ni,10608
2011,m,56,e,297682
2011,m,56,w,18203
2011,m,56,s,32965
2011,m,56,ni,10074
2011,m,57,e,299236
2011,m,57,w,18727
2011,m,57,s,32606
2011,m,57,ni,10156
2011,m,58,e,292032
2011,m,58,w,18463
2011,m,58,s,31598
2011,m,58,ni,9675
2011,m,59,e,287759
2011,m,59,w,18456
2011,m,59,s,31194
2011,m,59,ni,9289
2011,m,60,e,288456
2011,m,60,w,18515
2011,m,60,s,31525
2011,m,60,ni,9436
2011,m,61,e,296738
2011,m,61,w,19664
2011,m,61,s,31616
2011,m,61,ni,9332
2011,m,62,e,305126
2011,m,62,w,19889
2011,m,62,s,32617
2011,m,62,ni,9266
2011,m,63,e,331957
2011,m,63,w,21626
2011,m,63,s,34407
2011,m,63,ni,9087
2011,m,64,e,334863
2011,m,64,w,21173
2011,m,64,s,34560
2011,m,64,ni,9059
2011,m,65,e,255731
2011,m,65,w,16591
2011,m,65,s,26007
2011,m,65,ni,8306
2011,m,66,e,270127
2011,m,66,w,17546
2011,m,66,s,26475
2011,m,66,ni,8325
2011,m,67,e,251225
2011,m,67,w,16778
2011,m,67,s,25832
2011,m,67,ni,8356
2011,m,68,e,236520
2011,m,68,w,16011
2011,m,68,s,24202
2011,m,68,ni,7785
2011,m,69,e,204362
2011,m,69,w,14190
2011,m,69,s,22155
2011,m,69,ni,6831
2011,m,70,e,195564
2011,m,70,w,13489
2011,m,70,s,20784
2011,m,70,ni,6128
2011,m,71,e,202917
2011,m,71,w,13593
2011,m,71,s,21348
2011,m,71,ni,6052
2011,m,72,e,197680
2011,m,72,w,13055
2011,m,72,s,20399
2011,m,72,ni,6108
2011,m,73,e,190671
2011,m,73,w,12453
2011,m,73,s,19783
2011,m,73,ni,5671
2011,m,74,e,181121
2011,m,74,w,11914
2011,m,74,s,18377
2011,m,74,ni,5514
2011,m,75,e,170271
2011,m,75,w,10978
2011,m,75,s,17408
2011,m,75,ni,4966
2011,m,76,e,160779
2011,m,76,w,10811
2011,m,76,s,16522
2011,m,76,ni,4751
2011,m,77,e,147996
2011,m,77,w,9535
2011,m,77,s,15309
2011,m,77,ni,4360
2011,m,78,e,142046
2011,m,78,w,9191
2011,m,78,s,14052
2011,m,78,ni,4052
2011,m,79,e,134611
2011,m,79,w,8479
2011,m,79,s,13527
2011,m,79,ni,3789
2011,m,80,e,127482
2011,m,80,w,8110
2011,m,80,s,12226
2011,m,80,ni,3489
2011,m,81,e,114485
2011,m,81,w,7150
2011,m,81,s,10754
2011,m,81,ni,3043
2011,m,82,e,102910
2011,m,82,w,6523
2011,m,82,s,9818
2011,m,82,ni,2749
2011,m,83,e,91173
2011,m,83,w,5780
2011,m,83,s,8305
2011,m,83,ni,2432
2011,m,84,e,83600
2011,m,84,w,5325
2011,m,84,s,7489
2011,m,84,ni,2320
2011,m,85,e,73289
2011,m,85,w,4774
2011,m,85,s,6720
2011,m,85,ni,1849
2011,m,86,e,62611
2011,m,86,w,3948
2011,m,86,s,5573
2011,m,86,ni,1706
2011,m,87,e,53896
2011,m,87,w,3386
2011,m,87,s,4747
2011,m,87,ni,1394
2011,m,88,e,45655
2011,m,88,w,2829
2011,m,88,s,3849
2011,m,88,ni,1133
2011,m,89,e,40008
2011,m,89,w,2486
2011,m,89,s,3307
2011,m,89,ni,903
2011,m,90,e,33722
2011,m,90,w,1977
2011,m,90,s,2736
2011,m,90,ni,790
2011,m,91,e,23994
2011,m,91,w,1397
2011,m,91,s,1923
2011,m,91,ni,586
2011,m,92,e,13462
2011,m,92,w,908
2011,m,92,s,1114
2011,m,92,ni,379
2011,m,93,e,9721
2011,m,93,w,573
2011,m,93,s,864
2011,m,93,ni,260
2011,m,94,e,8339
2011,m,94,w,492
2011,m,94,s,654
2011,m,94,ni,181
2011,m,95,e,6129
2011,m,95,w,345
2011,m,95,s,485
2011,m,95,ni,155
2011,m,96,e,4634
2011,m,96,w,261
2011,m,96,s,359
2011,m,96,ni,102
2011,m,97,e,3031
2011,m,97,w,166
2011,m,97,s,234
2011,m,97,ni,72
2011,m,98,e,2057
2011,m,98,w,121
2011,m,98,s,158
2011,m,98,ni,35
2011,m,99,e,1218
2011,m,99,w,56
2011,m,99,s,112
2011,m,99,ni,26
2011,m,100 and over,e,1802
2011,m,100 and over,w,101
2011,m,100 and over,s,132
2011,m,100 and over,ni,40
